Nodo,No. Paquete,Estatus del paquete,Tiempo de entrega,No. SEQ, No. Veces enviado,Tamaño en bytes,Iteración,Semilla,TTS,No. Paquetes a enviar,TA,TB 
0,1,1,2.349463,453806247,2,1000,1,353,3.000196,1,1,1
0,1,1,2.860623,453806247,2,1000,1,362,3.000192,1,1,1
0,1,1,2.795082,453806247,2,1000,1,363,3.000109,1,1,1
0,1,1,3.882455,453806247,3,1000,1,374,4.000088,1,1,1
0,1,1,2.946097,453806247,2,1000,1,375,3.000154,1,1,1
0,1,1,3.619275,453806247,3,1000,1,379,4.000119,1,1,1
0,1,1,2.793446,453806247,2,1000,1,380,3.000185,1,1,1
0,1,1,2.735452,453806247,2,1000,1,385,3.000067,1,1,1
0,1,1,4.909583,453806247,4,1000,1,386,5.000133,1,1,1
0,1,1,3.997256,453806247,3,1000,1,387,4.000199,1,1,1
0,1,1,2.815278,453806247,2,1000,1,392,3.000081,1,1,1
0,1,1,2.773076,453806247,2,1000,1,397,3.000112,1,1,1
0,1,1,4.431688,453806247,4,1000,1,401,5.000077,1,1,1
0,1,1,2.933445,453806247,2,1000,1,402,3.000144,1,1,1
0,1,1,5.889237,453806247,5,1000,1,405,6.000192,1,1,1
0,1,1,2.924091,453806247,2,1000,1,409,3.000158,1,1,1
0,1,1,2.955277,453806247,2,1000,1,414,3.000189,1,1,1
0,1,1,5.958941,453806247,5,1000,1,416,6.000171,1,1,1
0,1,1,2.700054,453806247,2,1000,1,419,3.00007,1,1,1
0,1,1,2.973596,453806247,2,1000,1,424,3.000102,1,1,1
0,1,1,2.877259,453806247,2,1000,1,426,3.000084,1,1,1
0,1,1,4.753649,453806247,4,1000,1,429,5.000133,1,1,1
0,1,1,2.751069,453806247,2,1000,1,431,3.000116,1,1,1
0,1,1,2.497335,453806247,2,1000,1,437,3.000063,1,1,1
0,1,1,2.707434,453806247,2,1000,1,449,3.000109,1,1,1
0,1,1,3.537018,453806247,3,1000,1,460,4.000088,1,1,1
0,1,1,2.540998,453806247,2,1000,1,461,3.000154,1,1,1
0,1,1,2.91658,453806247,2,1000,1,466,3.000185,1,1,1
0,1,1,2.459316,453806247,2,1000,1,471,3.000067,1,1,1
0,1,1,2.79255,453806247,2,1000,1,476,3.000098,1,1,1
0,1,1,2.972063,453806247,2,1000,1,478,3.000081,1,1,1
0,1,1,2.598817,453806247,2,1000,1,483,3.000112,1,1,1
0,1,1,2.843565,453806247,2,1000,1,488,3.000144,1,1,1
0,1,1,2.725632,453806247,2,1000,1,493,3.000175,1,1,1
0,1,1,2.602974,453806247,2,1000,1,495,3.000157,1,1,1
0,1,1,5.941809,453806247,5,1000,1,499,6.000123,1,1,1
0,1,1,2.894574,453806247,2,1000,1,500,3.000189,1,1,1
0,1,1,2.621143,453806247,2,1000,1,505,3.00007,1,1,1
0,1,1,2.945733,453806247,2,1000,1,512,3.000084,1,1,1
0,1,1,3.779411,453806247,3,1000,1,513,4.00015,1,1,1
0,1,1,2.543125,453806247,2,1000,1,517,3.000116,1,1,1
0,1,1,2.471169,453806247,2,1000,1,518,3.000182,1,1,1
0,1,1,2.821553,453806247,2,1000,1,522,3.000147,1,1,1
0,1,1,2.909076,453806247,2,1000,1,523,3.000063,1,1,1
0,1,1,3.657629,453806247,3,1000,1,525,4.000196,1,1,1
0,1,1,3.697373,453806247,3,1000,1,532,4.00006,1,1,1
0,1,1,2.872568,453806247,2,1000,1,534,3.000192,1,1,1
0,1,1,2.86024,453806247,2,1000,1,535,3.000109,1,1,1
0,1,1,2.651992,453806247,2,1000,1,540,3.00014,1,1,1
0,1,1,2.748532,453806247,2,1000,1,544,3.000105,1,1,1
0,1,1,2.836054,453806247,2,1000,1,545,3.000171,1,1,1
0,1,1,3.697779,453806247,3,1000,1,547,4.000154,1,1,1
0,1,1,2.705106,453806247,2,1000,1,551,3.000119,1,1,1
0,1,1,2.449157,453806247,2,1000,1,552,3.000185,1,1,1
0,1,1,2.787069,453806247,2,1000,1,557,3.000067,1,1,1
0,1,1,3.71961,453806247,3,1000,1,559,4.000199,1,1,1
0,1,1,2.225127,453806247,2,1000,1,562,3.000098,1,1,1
0,1,1,3.763034,453806247,3,1000,1,567,4.00013,1,1,1
0,1,1,2.838229,453806247,2,1000,1,569,3.000112,1,1,1
0,1,1,2.543375,453806247,2,1000,1,574,3.000143,1,1,1
0,1,1,2.55133,453806247,2,1000,1,576,3.000126,1,1,1
0,1,1,2.814049,453806247,2,1000,1,579,3.000175,1,1,1
0,1,1,2.989244,453806247,2,1000,1,581,3.000157,1,1,1
0,1,1,2.42715,453806247,2,1000,1,586,3.000189,1,1,1
0,1,1,4.602345,453806247,4,1000,1,588,5.000171,1,1,1
0,1,1,2.765057,453806247,2,1000,1,591,3.00007,1,1,1
0,1,1,2.30297,453806247,2,1000,1,596,3.000102,1,1,1
0,1,1,4.82855,453806247,4,1000,1,602,5.000199,1,1,1
0,1,1,2.434758,453806247,2,1000,1,608,3.000147,1,1,1
0,1,1,3.810752,453806247,3,1000,1,609,4.000063,1,1,1
0,1,1,3.818079,453806247,3,1000,1,613,4.000178,1,1,1
0,1,1,2.832583,453806247,2,1000,1,621,3.000109,1,1,1
0,1,1,2.830724,453806247,2,1000,1,626,3.00014,1,1,1
0,1,1,2.981733,453806247,2,1000,1,638,3.000185,1,1,1
0,1,1,3.86907,453806247,3,1000,1,641,4.000084,1,1,1
0,1,1,2.772734,453806247,2,1000,1,643,3.000067,1,1,1
0,1,1,2.857553,453806247,2,1000,1,648,3.000098,1,1,1
0,1,1,4.452955,453806247,4,1000,1,652,5.000063,1,1,1
0,1,1,2.891051,453806247,2,1000,1,653,3.00013,1,1,1
0,1,1,2.894566,453806247,2,1000,1,655,3.000112,1,1,1
0,1,1,4.558328,453806247,4,1000,1,656,5.000178,1,1,1
0,1,1,5.901893,453806247,5,1000,1,659,6.000077,1,1,1
0,1,1,2.974526,453806247,2,1000,1,660,3.000143,1,1,1
0,1,1,2.912883,453806247,2,1000,1,665,3.000175,1,1,1
0,1,1,3.434147,453806247,3,1000,1,666,4.000091,1,1,1
0,1,1,2.959727,453806247,2,1000,1,672,3.000189,1,1,1
0,1,1,5.432959,453806247,5,1000,1,676,6.000154,1,1,1
0,1,1,2.920142,453806247,2,1000,1,677,3.00007,1,1,1
0,1,1,2.835546,453806247,2,1000,1,682,3.000102,1,1,1
0,1,1,2.956547,453806247,2,1000,1,689,3.000116,1,1,1
0,1,1,2.865908,453806247,2,1000,1,694,3.000147,1,1,1
0,1,1,2.974228,453806247,2,1000,1,695,3.000063,1,1,1
0,1,1,5.971201,453806247,5,1000,1,697,6.000196,1,1,1
0,1,1,2.974865,453806247,2,1000,1,699,3.000178,1,1,1
