Nodo,No. Paquete,Estatus del paquete,Tiempo de entrega,No. SEQ, No. Veces enviado,Tamaño en bytes,Iteración,Semilla,TTS,No. Paquetes a enviar,TA,TB,MTTS 
0,1,1,10.003435,767965516,9,1000,1,1,5000.000116,20,1.000000,9.000000,5000
0,2,1,54.190106,589280931,53,1000,1,1,5000.000116,20,1.000000,9.000000,5000
0,3,1,440.268109,2111328182,440,1000,1,1,5000.000116,20,1.000000,9.000000,5000
0,4,1,3843.266566,1422592245,3843,1000,1,1,5000.000116,20,1.000000,9.000000,5000
0,1,1,10.111448,1710443323,9,1000,2,4,5000.000165,20,1.000000,9.000000,5000
0,2,1,53.760419,406295982,53,1000,2,4,5000.000165,20,1.000000,9.000000,5000
0,3,1,449.529817,1418043853,450,1000,2,4,5000.000165,20,1.000000,9.000000,5000
0,4,1,4023.608895,1267712456,4023,1000,2,4,5000.000165,20,1.000000,9.000000,5000
0,1,1,18.724398,242909448,18,1000,4,13,5000.000161,20,1.000000,9.000000,5000
0,2,1,126.246081,2004824783,126,1000,4,13,5000.000161,20,1.000000,9.000000,5000
0,3,1,1097.621954,1485674514,1098,1000,4,13,5000.000161,20,1.000000,9.000000,5000
0,1,1,2.957214,608699952,2,1000,5,21,41.000091,20,1.000000,9.000000,5000
0,2,1,1.992201,1516864919,2,1000,5,21,41.000091,20,1.000000,9.000000,5000
0,3,1,1.881532,352744186,2,1000,5,21,41.000091,20,1.000000,9.000000,5000
0,4,1,2.346703,1105888201,2,1000,5,21,41.000091,20,1.000000,9.000000,5000
0,5,1,1.920710,806267188,1,1000,5,21,41.000091,20,1.000000,9.000000,5000
0,6,1,1.524559,392648491,1,1000,5,21,41.000091,20,1.000000,9.000000,5000
0,7,1,2.224495,1084770142,2,1000,5,21,41.000091,20,1.000000,9.000000,5000
0,8,1,1.831073,662775869,2,1000,5,21,41.000091,20,1.000000,9.000000,5000
0,9,1,2.421286,990537720,2,1000,5,21,41.000091,20,1.000000,9.000000,5000
